iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
65,51265.65316509937,59336.23264707801,34553.24161880923,71167.00690298574,16,2,5.496013402938843,0.03788638266208407,0.002096558149886551
66,10334.895188728213,11977.37620557709,7020.087927083452,14456.131429748006,16,2,5.51197075843811,0.03788638266208407,0.002096558149886551
67,301.5280437564064,345.5610867957209,219.1448311160143,421.04596954043,16,2,5.527928352355957,0.03788638266208407,0.002096558149886551
68,5.033139497617311,4.765980789960851,8.753511832956622,0.2747918660434535,16,2,5.544882774353027,0.03788638266208407,0.002096558149886551
69,4.999337721092577,4.790967281968975,8.670915288350526,0.6732230290103454,16,2,5.561837673187256,0.03788638266208407,0.002096558149886551
70,4.978063862614313,4.763014136454314,8.631621746152977,0.6179281003371748,16,2,5.5787928104400635,0.03788638266208407,0.002096558149886551
71,4.874270599957473,4.6596252818913415,8.496997937408063,0.44400722842372875,16,2,5.592755556106567,0.03788638266208407,0.002096558149886551
72,3.833533068200491,3.744457854350869,7.348627464221146,0.603508425450949,16,2,5.609709978103638,0.03788638266208407,0.002096558149886551
73,0.24964876829890406,0.2535917490566191,4519.767382922612,9380.688417484485,16,2,5.625666856765747,0.03788638266208407,0.002096558149886551
74,3.3596099949094094,3.4235918254982645,11.555992612957688,12.62185464291791,16,2,5.641624450683594,0.03788638266208407,0.002096558149886551
75,3.7870837649420634,3.7875851477574836,7.25252109208619,0.9683397626827226,16,2,5.6565845012664795,0.03788638266208407,0.002096558149886551
76,3.7602195538033505,3.7641206712961317,7.227818638107837,0.8896069928835193,16,2,5.670546531677246,0.03788638266208407,0.002096558149886551
77,3.5645578143371024,3.565632767297864,7.040893186491509,0.8502275301040665,16,2,5.686503887176514,0.03788638266208407,0.002096558149886551
78,2.9593974327992076,3.066383916906692,6.916690699332732,2.417163590086428,16,2,5.703459024429321,0.03788638266208407,0.002096558149886551
79,2.652606908307043,2.731214494725118,6.635718286568173,1.8899083643504309,16,2,5.718419075012207,0.03788638266208407,0.002096558149886551
80,1.7279750422284252,1.7902436377104225,7.1072440885616395,2.4514780780967804,16,2,5.736370801925659,0.03788638266208407,0.002096558149886551
81,5.332249488066077,5.126050758980627,9.380216760724046,6.3411034522719145,16,2,5.753325462341309,0.03788638266208407,0.002096558149886551
82,1.7225390632293638,1.760152222980835,6.8931297640617855,1.814093633062706,16,2,5.770280361175537,0.03788638266208407,0.002096558149886551
83,1.7485621334212813,1.7878838328539426,6.829185282659152,1.6743034539972947,16,2,5.785239934921265,0.03788638266208407,0.002096558149886551
84,1.8209199271085137,1.8581574187760648,6.709378152113765,1.574803557903198,16,2,5.802195310592651,0.03788638266208407,0.002096558149886551
85,2.1657831406360786,2.242725852538481,6.3100486729247,1.4620225383897383,16,2,5.8181517124176025,0.03788638266208407,0.002096558149886551
86,1.9541470139788268,1.9953324130416183,6.500241090261273,1.4537923778867214,16,2,5.833114862442017,0.03788638266208407,0.002096558149886551
87,3.597902409767111,3.644227165427105,9.242393288192904,8.230434136729942,16,2,5.850066900253296,0.03788638266208407,0.002096558149886551
88,2.021207278205247,2.06755974686707,6.40675542159881,1.415362267853344,16,2,5.8710103034973145,0.03788638266208407,0.002096558149886551
89,2.1457111415477605,2.189592178666024,6.189624652902144,1.2914821429393868,16,2,5.888962507247925,0.03788638266208407,0.002096558149886551
90,2.125091863533812,2.111810297535552,5.664137946608528,1.0881664985796908,16,2,5.909906387329102,0.03788638266208407,0.002096558149886551
91,0.7115523181121157,0.8144083077405918,235.6247207548438,490.4864454011047,16,2,5.927860975265503,0.03788638266208407,0.002096558149886551
92,2.082682532037897,2.0797718154879705,5.453291481633796,1.0625629558607392,16,2,5.945811033248901,0.03788638266208407,0.002096558149886551
93,2.043477196697745,2.0739979243224353,5.277063377083359,1.0795257994345742,16,2,5.964759826660156,0.03788638266208407,0.002096558149886551
94,1.6958009978290043,1.7916433147935642,15.294278241895592,25.321364567090065,16,2,5.979719400405884,0.03788638266208407,0.002096558149886551
